都道府県,GDP
北海道,34847873.0
青森県,7770207.0
岩手県,9211695.0
宮城県,17332514.0
秋田県,6258022.0
山形県,8054042.0
福島県,15218271.0
茨城県,27820615.0
栃木県,18270439.0
群馬県,18372560.0
埼玉県,43088129.0
千葉県,40907172.0
東京都,186928329.0
神奈川県,64692073.0
新潟県,16643711.0
富山県,9192394.0
石川県,9059106.0
福井県,6761556.0
山梨県,6754548.0
長野県,15940753.0
岐阜県,15406939.0
静岡県,35127196.0
愛知県,84246770.0
三重県,19773421.0
滋賀県,13995872.0
京都府,18067889.0
大阪府,71597048.0
兵庫県,40343063.0
奈良県,6554934.0
和歌山県,6937777.0
鳥取県,3432659.0
島根県,4519452.0
岡山県,17201409.0
広島県,23480518.0
山口県,13653785.0
徳島県,5585476.0
香川県,7588984.0
愛媛県,10450083.0
高知県,4136368.0
福岡県,37573199.0
佐賀県,5830550.0
長崎県,8114433.0
熊本県,11213365.0
大分県,10235409.0
宮崎県,6830671.0
鹿児島県,9879631.0
沖縄県,7865649.0
