都道府県,GDP
北海道,36265742.0
青森県,7833185.0
岩手県,9150513.0
宮城県,17672978.0
秋田県,6296401.0
山形県,8069598.0
福島県,15183704.0
茨城県,27561302.0
栃木県,17910509.0
群馬県,18641847.0
埼玉県,42238667.0
千葉県,40909138.0
東京都,202733245.0
神奈川県,63932469.0
新潟県,16541937.0
富山県,9144287.0
石川県,8883873.0
福井県,6940418.0
山梨県,6502692.0
長野県,15633943.0
岐阜県,15184689.0
静岡県,35160724.0
愛知県,84100376.0
三重県,19226887.0
滋賀県,13976676.0
京都府,18311830.0
大阪府,72264304.0
兵庫県,42049209.0
奈良県,6644029.0
和歌山県,7127513.0
鳥取県,3440222.0
島根県,4595332.0
岡山県,16385066.0
広島県,23531689.0
山口県,12993611.0
徳島県,5785773.0
香川県,7675034.0
愛媛県,10710500.0
高知県,4168323.0
福岡県,36911743.0
佐賀県,5838334.0
長崎県,8229730.0
熊本県,11411509.0
大分県,10050541.0
宮崎県,6782671.0
鹿児島県,10363011.0
沖縄県,7734694.0
