region_name,mean_light,sum_light,年,GDP
三重県,1.5915156506038044,11169.2568359375,2014,18999428.0
京都府,1.8281520836093448,10349.1689453125,2014,17016966.0
佐賀県,1.420443109797876,4146.2734375,2014,5091769.0
兵庫県,2.4218858222149318,24913.939453125,2014,39939269.0
北海道,0.8306671071735974,95542.5,2014,34713410.0
千葉県,5.212608089741569,33079.2109375,2014,41307958.0
和歌山県,0.8431749112901457,4804.41064453125,2014,7339934.0
埼玉県,6.634140724585723,31226.900390625,2014,39760805.0
大分県,0.7768565605270946,5906.4404296875,2014,10220480.0
大阪府,16.518620580125432,38191.05078125,2014,68694326.0
奈良県,1.3709905643947835,6150.263671875,2014,6674291.0
宮城県,1.5429073804584272,14362.9248046875,2014,16728826.0
宮崎県,0.4746143835593082,4349.3662109375,2014,6456734.0
富山県,1.3045459692028984,6931.052734375,2014,8740451.0
山口県,0.8247133674219383,6101.2294921875,2014,13095244.0
山形県,0.7667485789501257,9147.310546875,2014,7562509.0
山梨県,0.940380009266186,5185.25537109375,2014,5912767.0
岐阜県,0.9837835229871912,12903.3046875,2014,13779824.0
岡山県,1.0659367271969171,9267.25390625,2014,16650823.0
岩手県,0.4776094671016172,9480.0703125,2014,8868234.0
島根県,0.408820706070245,3361.732666015625,2014,4234978.0
広島県,1.1497694167049743,11880.5673828125,2014,23079666.0
徳島県,0.7079996192069516,3544.24609375,2014,5490639.0
愛媛県,0.7475466162281507,5089.29736328125,2014,10018996.0
愛知県,7.990275026608326,50674.32421875,2014,80056253.0
新潟県,0.7941464038401007,12615.015625,2014,16170296.0
東京都,18.625095948083363,50045.6328125,2014,189883169.0
栃木県,1.6119133794185612,12904.978515625,2014,16991579.0
沖縄県,0.0,0.0,2014,6980600.0
滋賀県,1.706281711986893,8396.6123046875,2014,12398963.0
熊本県,0.8864775121907202,7828.48291015625,2014,10273096.0
石川県,1.2983075776475363,6797.9384765625,2014,8367622.0
神奈川県,11.355322857082772,33748.01953125,2014,60869828.0
福井県,0.9156098383256992,4747.43701171875,2014,5923558.0
福岡県,3.797159565580618,22726.0,2014,34582769.0
福島県,0.6767358578117812,11769.7900390625,2014,15435937.0
秋田県,0.6060860622772571,9183.416015625,2014,5946202.0
群馬県,1.3693733629449634,10848.17578125,2014,17235840.0
茨城県,2.6070358849703363,19774.3671875,2014,25653987.0
長崎県,1.040768972538834,5159.091796875,2014,7783869.0
長野県,0.7021370065545157,11816.9658203125,2014,14439129.0
青森県,0.9816007878027748,12522.28125,2014,7414296.0
静岡県,1.9354046541714829,18419.24609375,2014,33144659.0
香川県,1.930428780074668,4362.76904296875,2014,7177070.0
高知県,0.4661200449724598,3977.40234375,2014,4017782.0
鳥取県,0.5704496913167111,2463.772216796875,2014,3164938.0
鹿児島県,0.5361919307372003,5770.49755859375,2014,9491190.0
三重県,1.5913927801724137,11168.39453125,2015,19167919.0
京都府,1.8121211744833068,10258.41796875,2015,17631846.0
佐賀県,1.424379302361682,4157.76318359375,2015,5291469.0
兵庫県,2.459520929024497,25301.091796875,2015,39297915.0
北海道,0.6829999282727202,78557.96875,2015,33875637.0
千葉県,5.237844828435235,33239.36328125,2015,39239968.0
和歌山県,0.8574977136988856,4886.02197265625,2015,6945486.0
